sequence_length,accuracy,response_time,total_attempts,mistakes,previous_score,current_level,difficulty_change
3,82.29,44.56,2,1,80.38,1,SAME
5,61.45,51.38,3,3,53.43,3,EASIER
3,70.01,20.86,3,2,66.9,1,SAME
5,61.84,37.06,4,3,57.62,3,EASIER
4,86.77,38.7,1,0,92.6,2,SAME
6,52.25,83.93,3,3,46.86,4,EASIER
7,27.12,167.8,5,6,19.69,5,EASIER
5,44.61,59.96,3,3,41.17,3,EASIER
6,55.78,243.61,1,2,55.97,4,EASIER
6,27.09,103.95,5,4,20.99,4,EASIER
7,45.24,65.41,3,3,38.12,5,EASIER
4,80.78,22.97,2,2,87.9,2,EASIER
4,63.22,48.86,1,2,55.53,2,SAME
4,67.26,23.55,3,2,62.15,2,SAME
6,50.84,111.72,4,3,45.63,4,EASIER
7,19.81,182.48,4,5,17.7,5,EASIER
4,75.91,58.55,1,1,72.72,2,SAME
3,75.58,16.98,1,2,69.35,1,SAME
6,47.8,132.41,5,4,42.85,4,EASIER
5,48.46,68.04,4,4,46.22,3,EASIER
4,62.73,28.56,3,2,55.7,2,SAME
3,92.58,23.29,2,1,92.66,1,HARDER
7,57.73,144.8,1,2,55.73,5,SAME
7,69.05,77.62,3,2,63.34,5,SAME
6,74.87,95.94,1,1,69.66,4,EASIER
5,70.28,118.63,2,1,69.41,3,EASIER
4,87.74,59.78,1,0,85.08,2,SAME
5,84.2,60.4,2,1,81.92,3,SAME
3,48.68,27.75,2,2,49.45,1,EASIER
4,77.65,29.51,3,2,75.28,2,SAME
5,68.04,45.06,1,2,64.01,3,SAME
5,43.0,27.1,4,4,43.29,3,EASIER
3,88.23,27.96,1,1,87.94,1,HARDER
7,30.04,162.46,5,4,22.13,5,EASIER
4,64.74,36.76,1,2,63.42,2,SAME
5,63.93,37.57,1,2,64.01,3,SAME
5,47.31,59.93,3,2,46.17,3,EASIER
5,63.38,112.69,1,2,63.25,3,SAME
7,48.9,182.71,3,3,47.92,5,EASIER
6,44.82,80.75,4,4,38.29,4,EASIER
7,44.12,300.0,2,3,43.62,5,EASIER
4,60.52,135.1,2,2,62.14,2,EASIER
4,92.01,30.32,2,2,89.6,2,SAME
5,71.98,51.35,1,0,78.68,3,SAME
5,70.95,81.75,3,3,65.18,3,EASIER
4,63.69,24.74,4,4,56.66,2,EASIER
5,66.03,88.3,1,0,62.13,3,SAME
3,100.0,26.15,1,0,100.0,1,HARDER
5,89.66,69.71,1,1,86.58,3,HARDER
6,53.65,60.79,3,3,47.65,4,EASIER
5,59.13,39.27,5,3,56.37,3,EASIER
7,41.83,37.96,4,4,33.9,5,EASIER
7,27.84,251.57,4,3,22.01,5,EASIER
7,42.27,187.09,2,3,41.71,5,EASIER
3,89.18,33.73,1,1,84.24,1,HARDER
7,57.57,135.41,2,3,56.36,5,EASIER
4,86.36,12.87,1,1,91.26,2,HARDER
5,76.39,39.99,2,2,78.0,3,SAME
5,69.74,51.09,2,2,64.62,3,SAME
4,55.67,22.86,3,2,47.71,2,EASIER
7,46.4,44.5,4,3,40.79,5,EASIER
6,54.93,49.33,2,2,50.4,4,EASIER
7,30.33,115.04,3,4,18.66,5,EASIER
7,38.91,115.06,4,3,31.57,5,EASIER
5,68.22,90.89,1,1,65.84,3,SAME
6,40.7,239.74,2,3,38.21,4,EASIER
5,39.33,81.44,4,4,34.14,3,EASIER
5,65.63,53.17,3,2,62.33,3,SAME
6,24.11,209.12,5,5,18.46,4,EASIER
6,38.2,36.02,4,4,32.53,4,EASIER
7,45.84,36.07,4,3,40.84,5,EASIER
6,67.2,51.71,1,2,58.51,4,SAME
6,62.95,125.09,2,2,57.63,4,SAME
7,52.83,122.78,2,2,50.38,5,EASIER
3,93.3,15.13,1,0,88.65,1,HARDER
6,32.31,56.18,4,4,29.61,4,EASIER
4,99.32,21.2,1,0,99.62,2,HARDER
5,57.37,31.37,1,2,60.1,3,SAME
6,63.6,183.69,2,3,59.63,4,EASIER
4,68.06,35.52,3,2,66.35,2,SAME
7,57.79,293.81,3,2,51.55,5,EASIER
5,76.98,37.33,1,1,79.89,3,SAME
4,83.09,47.87,2,1,83.23,2,SAME
4,60.33,42.28,1,2,57.36,2,SAME
5,87.62,89.65,1,1,87.99,3,HARDER
7,59.3,128.67,2,2,56.17,5,SAME
3,61.77,38.75,2,2,56.14,1,SAME
5,67.69,76.31,1,1,64.42,3,SAME
7,59.12,61.79,1,1,58.44,5,SAME
5,86.52,83.36,1,1,90.09,3,SAME
5,59.55,55.11,3,4,51.99,3,EASIER
4,69.37,26.38,1,1,70.0,2,SAME
3,83.82,34.05,1,0,80.85,1,SAME
6,71.56,132.41,1,1,71.71,4,SAME
7,40.37,86.05,4,5,34.31,5,EASIER
5,83.84,48.76,1,0,81.6,3,SAME
5,42.76,29.19,2,4,38.48,3,EASIER
3,100.0,11.2,1,0,96.01,1,HARDER
7,48.28,98.14,3,3,43.73,5,EASIER
7,54.29,172.46,2,2,50.46,5,EASIER
7,72.13,81.95,1,1,74.5,5,SAME
4,87.63,74.34,2,0,86.76,2,SAME
6,54.31,73.71,5,4,52.08,4,EASIER
5,53.95,52.51,3,4,51.66,3,EASIER
4,37.28,33.17,5,4,37.4,2,EASIER
4,87.44,60.28,1,0,79.96,2,SAME
4,89.87,24.21,2,1,89.24,2,HARDER
5,68.28,54.41,3,2,69.38,3,SAME
3,66.83,19.6,1,2,65.06,1,SAME
6,92.37,61.23,1,0,92.44,4,HARDER
5,70.99,59.02,1,1,70.87,3,SAME
7,44.28,105.29,5,4,36.16,5,EASIER
4,46.94,62.29,3,3,47.3,2,EASIER
3,100.0,24.88,1,1,98.24,1,HARDER
4,79.95,49.33,3,3,74.46,2,EASIER
7,36.25,123.06,4,4,23.32,5,EASIER
4,95.21,73.5,1,0,97.52,2,SAME
6,71.9,70.07,1,1,66.49,4,HARDER
7,51.11,95.13,4,3,50.96,5,EASIER
4,81.36,53.93,1,1,83.05,2,SAME
6,62.11,69.57,1,2,58.49,4,SAME
4,96.06,48.03,2,0,90.08,2,HARDER
4,83.07,114.02,1,0,80.83,2,EASIER
4,61.68,23.99,2,2,59.13,2,SAME
6,63.61,181.85,1,2,60.85,4,EASIER
7,49.65,85.65,4,4,41.54,5,EASIER
4,93.53,71.26,1,0,98.28,2,SAME
4,100.0,52.46,1,0,97.23,2,SAME
7,66.36,155.35,1,1,58.84,5,SAME
5,68.96,53.82,1,1,69.74,3,SAME
5,74.6,51.24,1,1,75.24,3,SAME
6,77.35,56.33,2,1,75.05,4,SAME
3,82.32,25.07,1,0,81.61,1,SAME
7,51.26,101.32,3,3,46.16,5,EASIER
4,71.4,41.57,2,2,67.26,2,EASIER
6,45.53,39.38,4,4,41.96,4,EASIER
5,67.42,58.65,2,2,64.89,3,SAME
6,59.41,158.11,2,2,54.11,4,SAME
6,36.32,133.97,5,4,33.08,4,EASIER
3,72.23,25.26,1,0,76.05,1,SAME
3,99.25,78.19,1,0,99.54,1,EASIER
7,75.21,81.76,1,1,73.65,5,SAME
5,79.29,55.56,1,2,79.35,3,SAME
4,90.79,19.22,2,1,94.58,2,HARDER
3,98.17,20.89,1,0,96.91,1,HARDER
3,96.34,55.39,1,0,96.48,1,EASIER
7,66.59,91.77,1,1,65.48,5,SAME
7,64.35,48.71,2,2,60.83,5,SAME
4,64.17,57.25,2,3,60.1,2,EASIER
4,79.82,45.63,1,1,87.74,2,SAME
5,58.62,87.5,1,1,56.1,3,SAME
3,69.98,21.9,2,1,71.84,1,SAME
5,76.78,35.23,3,1,72.88,3,SAME
6,46.64,74.53,5,4,39.44,4,EASIER
7,54.41,151.55,1,2,42.13,5,EASIER
4,66.4,36.73,2,2,63.33,2,SAME
3,74.45,29.71,1,1,68.96,1,SAME
3,76.68,19.69,1,1,75.9,1,SAME
4,69.49,46.4,2,3,63.94,2,EASIER
6,38.76,81.87,1,2,30.93,4,EASIER
3,99.93,18.26,1,1,98.08,1,HARDER
6,72.94,88.19,1,1,70.51,4,SAME
5,81.6,47.9,1,0,87.8,3,SAME
6,60.51,113.03,3,3,56.7,4,EASIER
5,74.12,89.36,1,1,68.71,3,SAME
3,91.87,31.25,1,0,92.92,1,HARDER
3,82.52,12.08,2,1,82.37,1,SAME
5,85.98,35.98,2,0,84.7,3,HARDER
5,67.03,42.32,1,1,64.8,3,SAME
7,72.12,72.57,1,1,72.7,5,SAME
7,44.12,83.32,2,2,38.02,5,EASIER
3,48.14,37.74,5,5,46.07,1,EASIER
4,38.57,52.77,5,4,35.83,2,EASIER
4,62.76,31.14,1,1,62.58,2,SAME
3,92.16,32.53,1,0,88.52,1,HARDER
3,71.31,28.94,2,1,73.59,1,SAME
3,86.55,24.64,2,1,81.51,1,HARDER
5,84.41,102.39,2,1,83.54,3,SAME
3,77.93,18.63,2,1,75.79,1,SAME
3,93.96,25.59,1,0,95.98,1,HARDER
3,87.34,15.66,3,2,83.49,1,SAME
6,66.18,48.68,2,3,58.31,4,EASIER
6,64.37,40.41,2,2,59.49,4,SAME
7,44.49,65.44,1,2,40.4,5,EASIER
3,91.24,25.94,1,2,91.53,1,SAME
4,90.72,32.96,1,0,90.82,2,HARDER
5,75.91,50.75,4,3,68.03,3,EASIER
6,58.97,70.19,2,3,56.82,4,EASIER
3,100.0,55.02,1,0,100.0,1,EASIER
4,77.17,22.27,1,1,73.34,2,SAME
5,87.26,31.33,1,2,81.63,3,HARDER
3,80.84,17.16,1,1,78.51,1,SAME
4,64.37,36.74,4,2,59.66,2,EASIER
6,53.79,107.17,2,2,53.27,4,EASIER
5,75.42,78.78,1,0,75.62,3,SAME
5,74.29,92.58,1,1,69.76,3,SAME
5,71.02,54.97,2,2,68.26,3,SAME
7,33.26,90.24,4,4,27.46,5,EASIER
5,63.7,130.19,2,2,57.8,3,EASIER
5,59.77,14.62,4,3,53.91,3,EASIER
7,45.09,115.9,3,3,41.56,5,EASIER
3,80.02,30.27,1,1,82.36,1,SAME
3,79.15,57.55,1,0,81.28,1,EASIER
5,80.9,25.49,2,1,77.12,3,SAME
4,70.09,31.19,3,2,71.39,2,SAME
4,92.36,20.08,2,0,90.98,2,HARDER
3,80.33,11.23,2,2,79.04,1,SAME
7,61.36,100.19,1,2,61.99,5,SAME
6,65.34,126.46,2,2,63.81,4,SAME
6,70.37,153.52,1,2,65.75,4,SAME
3,100.0,19.73,1,0,100.0,1,HARDER
4,52.08,51.98,2,2,50.05,2,EASIER
6,47.23,73.99,5,3,39.48,4,EASIER
5,56.81,76.4,2,2,52.8,3,SAME
6,56.23,149.46,2,2,55.38,4,SAME
6,43.77,74.12,3,3,37.91,4,EASIER
5,62.07,98.84,3,2,56.85,3,SAME
6,58.24,43.64,1,2,49.46,4,EASIER
4,54.96,51.74,2,2,47.04,2,SAME
3,76.07,39.6,1,2,79.54,1,SAME
7,55.59,185.95,3,3,48.33,5,EASIER
3,69.32,14.75,5,3,62.75,1,EASIER
4,90.91,34.5,2,1,92.78,2,HARDER
3,61.11,28.6,2,2,55.17,1,SAME
4,88.83,46.8,3,0,87.41,2,SAME
4,100.0,40.13,2,1,100.0,2,HARDER
3,76.68,47.22,1,0,76.96,1,SAME
5,81.09,30.54,1,1,75.51,3,SAME
7,35.08,98.25,4,3,28.84,5,EASIER
3,98.52,11.8,1,0,100.0,1,HARDER
7,49.48,157.13,5,3,44.01,5,EASIER
5,64.72,76.32,1,2,61.66,3,SAME
5,36.15,300.0,2,4,30.04,3,EASIER
5,71.05,96.4,1,1,73.17,3,SAME
4,100.0,44.4,2,0,97.43,2,HARDER
3,99.0,28.0,1,0,94.26,1,HARDER
5,75.5,49.59,2,2,75.07,3,SAME
7,73.64,120.26,1,1,67.96,5,SAME
5,82.16,66.5,2,1,76.52,3,SAME
5,80.68,21.93,1,0,83.51,3,SAME
6,68.71,90.84,1,1,65.89,4,SAME
4,77.49,39.85,1,0,77.76,2,SAME
3,83.04,54.57,2,1,75.17,1,EASIER
5,89.59,54.34,1,0,91.42,3,HARDER
7,74.93,73.79,1,1,70.34,5,SAME
4,77.54,43.11,1,1,79.17,2,SAME
7,47.37,116.63,3,4,41.2,5,EASIER
7,42.84,104.31,2,2,42.14,5,SAME
4,95.82,20.83,1,0,97.07,2,HARDER
5,82.7,53.69,1,1,80.72,3,SAME
6,66.98,60.68,1,0,65.08,4,SAME
5,58.37,52.11,3,4,50.05,3,EASIER
6,35.29,119.99,4,3,34.17,4,EASIER
7,42.91,77.55,4,4,31.64,5,EASIER
6,79.46,73.09,2,1,73.9,4,SAME
7,44.32,150.42,2,3,38.89,5,EASIER
7,40.87,96.71,2,5,26.8,5,EASIER
7,28.27,300.0,4,4,21.12,5,EASIER
7,53.71,128.27,4,3,49.18,5,EASIER
4,73.56,21.2,4,2,73.2,2,EASIER
3,75.38,17.21,5,3,75.07,1,EASIER
3,77.32,16.45,2,2,69.54,1,SAME
4,93.76,25.79,1,1,92.68,2,HARDER
6,43.99,108.41,5,4,40.64,4,EASIER
5,74.11,33.54,1,1,73.69,3,SAME
5,77.32,49.23,1,2,75.85,3,SAME
3,90.7,41.57,2,1,87.8,1,SAME
6,69.29,62.58,2,2,65.03,4,SAME
4,88.92,52.1,1,0,86.63,2,SAME
6,70.39,34.18,2,2,68.62,4,SAME
3,78.54,21.2,2,1,80.75,1,SAME
4,69.43,25.06,1,1,69.47,2,SAME
3,82.11,28.57,1,2,76.08,1,SAME
4,93.72,23.37,1,0,90.94,2,HARDER
7,25.29,300.0,2,4,15.66,5,EASIER
5,77.11,25.76,1,2,70.57,3,SAME
5,61.15,101.76,3,3,57.04,3,EASIER
4,90.43,57.42,1,0,86.97,2,SAME
4,69.51,43.96,1,1,65.87,2,SAME
6,24.03,84.35,4,5,19.19,4,EASIER
7,41.69,300.0,1,3,36.06,5,EASIER
6,45.02,296.37,3,3,39.72,4,EASIER
6,78.29,73.62,2,3,73.42,4,EASIER
5,62.27,62.71,2,2,60.48,3,SAME
3,73.77,19.55,2,2,69.63,1,SAME
6,44.7,44.64,5,4,32.47,4,EASIER
7,55.37,144.16,5,3,50.59,5,EASIER
5,60.48,65.63,4,3,54.09,3,EASIER
3,95.9,12.21,1,0,100.0,1,HARDER
6,82.79,103.94,2,1,77.38,4,SAME
7,50.77,130.69,4,3,48.0,5,EASIER
4,71.84,28.65,3,1,69.53,2,SAME
3,77.66,18.58,1,2,81.75,1,SAME
6,69.18,102.22,1,2,67.82,4,SAME
4,81.52,80.94,2,2,83.45,2,EASIER
6,43.03,100.88,3,3,30.51,4,EASIER
6,62.99,123.05,3,3,58.02,4,EASIER
4,82.77,25.7,1,1,79.11,2,SAME
3,87.67,20.79,1,1,88.43,1,HARDER
5,44.13,78.37,4,3,40.7,3,EASIER
5,73.86,29.61,2,1,74.19,3,SAME
7,48.44,125.39,4,4,42.38,5,EASIER
4,57.43,47.92,3,3,55.77,2,EASIER
4,68.68,37.32,4,2,65.75,2,EASIER
7,64.15,133.29,2,1,60.83,5,SAME
6,65.06,84.5,3,2,62.3,4,SAME
6,58.53,59.33,3,3,57.68,4,EASIER
7,59.45,58.93,1,2,57.97,5,SAME
6,60.1,78.24,2,2,58.19,4,SAME
7,31.39,228.02,2,4,27.04,5,SAME
6,58.46,139.69,1,1,57.66,4,SAME
5,73.78,48.89,1,2,69.44,3,SAME
3,81.11,21.24,1,2,78.44,1,SAME
6,50.61,65.24,4,3,39.36,4,EASIER
6,65.41,65.24,4,2,55.1,4,EASIER
7,58.85,131.02,4,3,56.46,5,EASIER
6,37.76,142.11,4,4,28.45,4,EASIER
5,86.78,177.78,1,0,83.22,3,EASIER
5,82.44,38.46,2,1,81.49,3,SAME
3,81.66,33.4,1,1,79.7,1,SAME
3,94.93,31.82,1,0,95.56,1,HARDER
3,82.75,21.59,2,1,78.07,1,SAME
7,12.33,64.03,5,6,4.57,5,EASIER
6,47.92,94.62,2,3,41.87,4,EASIER
4,79.6,102.92,2,2,80.2,2,EASIER
5,59.25,66.26,1,2,54.75,3,SAME
5,82.83,39.28,3,1,82.6,3,SAME
4,95.01,35.29,1,0,92.62,2,HARDER
5,77.51,32.99,2,1,81.74,3,SAME
4,66.82,38.33,1,1,64.82,2,SAME
6,78.7,116.99,1,1,77.95,4,SAME
6,66.57,57.2,3,2,66.08,4,SAME
3,99.9,8.0,1,1,97.49,1,HARDER
5,72.66,66.52,3,3,75.04,3,EASIER
7,54.19,85.21,5,5,49.48,5,EASIER
7,47.99,74.39,2,2,40.85,5,EASIER
6,53.83,55.25,3,4,48.99,4,EASIER
6,58.78,100.97,1,2,57.74,4,SAME
3,98.59,20.85,1,0,100.0,1,HARDER
7,33.43,185.97,4,4,24.24,5,EASIER
6,23.09,134.56,5,4,16.3,4,EASIER
7,56.83,96.64,2,2,56.67,5,SAME
7,19.93,84.32,4,5,10.73,5,EASIER
4,77.61,40.35,2,1,73.25,2,SAME
3,91.33,23.43,1,0,88.55,1,HARDER
6,51.1,32.96,3,3,44.47,4,HARDER
5,73.72,149.59,2,2,64.89,3,EASIER
3,69.33,34.36,1,0,66.44,1,SAME
4,78.04,30.56,2,2,76.07,2,SAME
7,37.16,39.41,5,4,34.39,5,EASIER
4,76.51,34.91,2,2,72.23,2,SAME
4,97.53,28.82,1,0,97.79,2,HARDER
6,62.91,79.46,1,1,61.12,4,EASIER
6,61.95,26.62,2,2,58.08,4,SAME
4,85.18,30.44,1,0,81.64,2,HARDER
7,58.68,89.51,1,3,50.16,5,EASIER
5,45.72,52.73,3,4,43.22,3,EASIER
3,100.0,22.51,1,1,98.09,1,HARDER
4,68.3,38.94,2,2,67.15,2,SAME
7,22.01,256.61,4,4,16.0,5,EASIER
3,65.32,19.88,1,1,67.61,1,SAME
3,69.63,16.67,4,3,61.13,1,EASIER
6,43.91,33.4,5,3,38.54,4,EASIER
5,90.8,45.04,1,1,87.86,3,HARDER
4,79.87,19.67,1,0,77.39,2,SAME
5,62.97,93.29,3,2,52.98,3,SAME
3,100.0,23.95,1,0,99.98,1,HARDER
4,69.51,59.09,5,2,67.9,2,EASIER
4,85.09,75.68,1,0,89.36,2,SAME
5,59.14,37.8,3,3,53.33,3,EASIER
6,76.24,68.45,2,3,68.13,4,EASIER
7,52.97,231.43,3,3,45.14,5,EASIER
3,70.77,27.2,1,1,66.9,1,SAME
4,80.01,48.55,2,1,78.82,2,SAME
4,92.86,61.75,1,0,89.74,2,SAME
5,82.35,90.4,1,1,80.71,3,SAME
5,58.99,71.06,3,2,52.51,3,SAME
7,47.51,239.73,1,3,42.32,5,EASIER
7,71.16,107.91,2,1,75.54,5,SAME
6,70.67,107.43,1,1,69.77,4,SAME
3,80.99,23.11,2,2,74.85,1,SAME
3,87.31,39.37,1,0,95.55,1,SAME
7,34.99,76.45,5,6,29.05,5,EASIER
7,40.35,44.76,4,4,36.26,5,EASIER
4,74.58,51.7,4,2,70.7,2,EASIER
3,94.82,15.88,1,0,97.07,1,HARDER
6,60.08,45.82,3,2,59.04,4,SAME
5,49.77,108.48,4,2,43.75,3,EASIER
7,35.16,189.64,5,2,35.26,5,EASIER
5,60.08,48.96,2,2,59.54,3,SAME
6,43.96,16.83,5,3,39.2,4,EASIER
6,50.03,108.2,1,2,45.18,4,EASIER
3,86.59,33.57,1,1,89.04,1,HARDER
3,83.76,31.46,1,0,82.41,1,SAME
6,60.87,104.75,2,3,56.34,4,EASIER
3,71.44,23.06,3,2,65.01,1,SAME
4,89.69,31.33,1,1,84.78,2,HARDER
6,55.5,46.13,2,2,57.86,4,SAME
4,93.56,27.38,1,0,97.81,2,HARDER
3,99.8,28.84,2,1,100.0,1,HARDER
3,77.77,29.06,1,2,75.61,1,SAME
5,60.59,85.75,4,3,51.8,3,EASIER
6,39.04,39.46,5,4,34.14,4,EASIER
6,73.27,34.6,2,2,71.55,4,SAME
7,51.07,91.06,1,2,47.85,5,EASIER
6,83.27,48.25,1,1,83.68,4,SAME
6,65.22,90.33,1,2,67.83,4,SAME
4,81.57,20.53,1,0,79.81,2,SAME
4,79.33,66.17,1,2,77.08,2,SAME
4,71.7,25.82,1,1,67.04,2,EASIER
3,96.6,50.79,1,0,98.2,1,SAME
7,32.47,149.04,4,5,24.18,5,EASIER
4,82.46,23.14,2,1,81.26,2,SAME
5,58.71,163.59,2,2,53.23,3,EASIER
4,74.27,43.05,2,2,69.13,2,SAME
3,86.88,26.92,3,1,77.64,1,SAME
7,32.49,108.09,3,4,26.41,5,EASIER
4,58.01,47.32,1,2,53.85,2,SAME
3,81.72,31.59,1,1,80.57,1,SAME
4,75.91,25.31,2,1,74.22,2,SAME
3,87.29,22.73,1,0,89.13,1,HARDER
7,26.06,119.29,5,4,25.03,5,EASIER
3,100.0,32.4,1,0,97.25,1,HARDER
4,89.81,50.37,2,1,90.31,2,HARDER
4,33.44,41.06,4,5,22.8,2,HARDER
3,82.6,19.57,1,2,78.16,1,SAME
3,94.24,19.13,1,0,93.7,1,HARDER
5,80.58,32.16,1,0,82.73,3,SAME
4,60.12,50.2,3,2,53.16,2,SAME
3,97.57,19.01,2,1,91.85,1,SAME
4,59.95,34.73,3,2,56.82,2,SAME
4,83.33,42.49,1,1,72.29,2,SAME
5,62.14,58.11,3,3,60.42,3,EASIER
7,51.67,111.66,3,3,48.95,5,EASIER
4,77.67,24.84,1,0,77.28,2,SAME
6,53.35,94.3,4,3,50.76,4,EASIER
6,39.79,69.69,4,4,27.82,4,EASIER
3,86.67,24.06,2,1,86.85,1,HARDER
5,67.09,102.89,1,1,67.23,3,SAME
5,91.0,74.48,1,1,83.79,3,HARDER
5,74.29,43.72,1,1,72.86,3,HARDER
3,91.9,23.4,1,0,90.49,1,HARDER
5,69.35,128.02,3,1,61.66,3,EASIER
3,92.32,21.8,1,0,91.33,1,HARDER
7,64.64,114.46,2,1,64.4,5,SAME
5,61.94,80.58,1,3,50.6,3,EASIER
3,95.88,27.51,1,1,95.97,1,HARDER
5,74.8,48.23,1,1,76.62,3,SAME
7,72.42,74.69,1,1,66.87,5,SAME
6,68.31,81.57,2,2,60.61,4,SAME
4,88.67,51.77,1,0,91.56,2,SAME
7,54.28,230.07,2,2,49.77,5,EASIER
3,100.0,13.02,1,0,100.0,1,HARDER
4,57.39,87.02,1,2,54.22,2,EASIER
3,81.46,21.99,1,1,75.71,1,SAME
7,28.93,185.4,5,4,19.01,5,EASIER
6,57.08,55.88,1,3,58.54,4,EASIER
5,53.37,26.13,4,3,43.39,3,EASIER
6,44.18,41.43,5,4,36.77,4,EASIER
4,73.4,32.53,5,2,67.59,2,EASIER
3,83.45,31.57,3,2,74.18,1,SAME
7,49.79,113.92,4,4,45.22,5,EASIER
7,56.6,97.72,2,2,50.62,5,SAME
3,69.72,41.12,1,2,68.26,1,SAME
3,82.05,25.02,1,1,80.02,1,SAME
5,51.38,66.62,2,2,50.03,3,EASIER
3,83.22,99.81,2,1,74.55,1,EASIER
6,71.12,81.66,1,1,68.41,4,SAME
7,58.33,76.65,2,2,57.89,5,SAME
4,81.77,47.64,2,0,79.96,2,SAME
4,70.63,53.66,2,1,67.98,2,SAME
7,40.09,131.96,2,3,31.78,5,EASIER
4,78.99,40.91,1,0,78.23,2,SAME
4,71.97,76.27,3,2,65.38,2,EASIER
3,62.53,45.73,2,3,56.96,1,EASIER
7,65.2,105.08,1,2,59.17,5,SAME
7,28.78,78.87,4,4,25.86,5,EASIER
3,96.09,30.26,1,1,97.19,1,HARDER
7,41.96,78.62,2,3,33.8,5,EASIER
3,97.67,37.07,1,0,100.0,1,SAME
3,74.22,30.19,1,1,73.45,1,SAME
4,65.94,133.29,1,2,63.78,2,EASIER
5,72.47,120.27,2,2,73.78,3,EASIER
7,40.07,62.21,4,3,36.83,5,EASIER
6,41.37,62.61,2,3,34.18,4,EASIER
3,97.78,10.67,1,0,92.47,1,HARDER
5,53.71,20.13,1,2,39.39,3,SAME
7,32.47,119.17,5,5,31.19,5,EASIER
6,78.81,44.11,3,2,76.37,4,SAME
4,67.36,82.18,3,2,65.29,2,EASIER
3,84.82,41.85,1,1,84.98,1,SAME
5,76.21,50.71,1,1,72.88,3,SAME
5,64.99,49.3,1,3,61.88,3,EASIER
4,68.83,76.38,3,0,64.46,2,EASIER
3,100.0,53.62,2,0,100.0,1,EASIER
3,78.32,16.51,2,1,79.15,1,SAME
5,61.08,34.3,2,3,53.66,3,EASIER
7,68.21,95.05,1,1,75.51,5,SAME
5,77.09,71.8,2,1,71.3,3,SAME
5,78.14,44.98,1,1,78.32,3,SAME
7,50.1,143.3,2,3,45.46,5,EASIER
6,50.58,226.08,3,2,51.84,4,EASIER
6,46.87,39.47,2,3,41.44,4,EASIER
5,64.63,46.52,2,2,58.59,3,SAME
6,44.57,39.86,1,3,42.73,4,EASIER
5,68.82,38.33,2,1,64.81,3,SAME
6,67.65,70.35,1,1,68.67,4,SAME
6,74.56,56.18,2,2,67.52,4,SAME
6,58.57,107.46,1,2,53.36,4,SAME
7,73.66,121.6,1,0,70.8,5,SAME
4,60.24,43.73,4,3,51.28,2,EASIER
6,77.03,69.91,1,1,71.51,4,SAME
3,91.49,22.72,2,0,96.05,1,HARDER
5,70.53,48.76,2,1,75.6,3,SAME
7,52.02,97.81,3,3,41.73,5,EASIER
6,48.07,101.96,3,2,48.91,4,EASIER
4,90.19,15.39,2,1,90.03,2,HARDER
6,77.58,95.24,4,4,71.6,4,EASIER
4,67.96,25.26,1,1,62.11,2,SAME
5,77.75,49.04,1,2,78.09,3,SAME
4,73.82,18.24,2,2,65.14,2,SAME
6,67.91,68.05,2,1,65.82,4,SAME
3,72.0,28.29,1,1,68.1,1,SAME
5,64.21,72.73,1,1,61.94,3,SAME
7,67.99,58.67,3,2,69.15,5,SAME
6,63.56,101.42,4,3,52.93,4,EASIER
5,55.87,101.97,1,2,48.75,3,EASIER
7,77.68,85.58,2,1,74.85,5,SAME
3,81.82,25.01,1,0,84.96,1,SAME
7,44.21,36.28,5,4,39.92,5,EASIER
4,82.8,24.93,1,0,88.27,2,SAME
7,64.46,129.79,1,1,63.46,5,SAME
7,51.61,188.52,2,3,48.12,5,EASIER
6,80.65,60.05,1,1,77.2,4,SAME
6,33.17,300.0,3,3,19.89,4,EASIER
6,89.64,96.54,1,0,94.51,4,HARDER
4,96.5,20.89,1,1,95.9,2,HARDER
3,84.86,44.33,1,0,84.61,1,SAME
4,77.84,21.09,2,2,72.29,2,SAME
5,77.92,68.24,1,1,81.23,3,SAME
6,65.94,50.58,1,2,58.25,4,SAME
4,66.71,20.08,3,2,60.08,2,SAME
5,62.41,93.38,4,3,56.42,3,EASIER
3,96.91,22.27,1,0,98.61,1,HARDER
3,82.18,53.88,1,0,81.42,1,EASIER
7,50.16,64.31,3,3,47.66,5,EASIER
7,31.3,47.87,4,4,27.77,5,EASIER
7,68.1,86.24,3,2,64.32,5,SAME
4,76.94,147.84,2,0,80.79,2,EASIER
5,59.94,87.64,3,2,52.91,3,SAME
6,62.97,109.37,2,3,57.08,4,EASIER
4,85.19,50.07,2,1,83.63,2,HARDER
6,64.31,63.73,1,0,66.81,4,SAME
6,31.61,300.0,4,4,29.93,4,EASIER
5,76.69,72.76,2,1,72.95,3,SAME
5,55.95,69.46,2,3,52.27,3,EASIER
4,81.37,60.37,2,1,76.75,2,SAME
7,76.56,55.96,3,1,74.13,5,SAME
7,37.92,69.36,2,3,34.88,5,EASIER
7,59.09,97.97,3,3,56.29,5,EASIER
6,52.16,137.31,1,2,49.89,4,EASIER
4,54.85,20.65,3,3,48.45,2,EASIER
6,65.71,79.18,1,1,63.92,4,SAME
4,61.86,34.45,5,3,55.97,2,EASIER
7,41.26,47.49,5,3,37.04,5,EASIER
4,68.73,29.92,3,1,65.74,2,SAME
5,63.82,75.86,1,1,60.25,3,HARDER
3,88.44,12.92,1,0,86.68,1,HARDER
